NAME                       VERSION           TYPE                    
7zip                       24.09-r0          apk                      
Simple Launcher            1.1.0.14          binary  (+5 duplicates)  
acl-libs                   2.3.2-r1          apk                      
ada-libs                   2.9.2-r4          apk                      
aiofiles                   24.1.0            python                   
aiohappyeyeballs           2.6.1             python                   
aiohttp                    3.13.3            python                   
aiohttp-socks              0.11.0            python                   
aiosignal                  1.4.0             python                   
alpine-baselayout          3.7.0-r0          apk                      
alpine-baselayout-data     3.7.0-r0          apk                      
alpine-keys                2.5-r0            apk                      
alpine-release             3.22.2-r0         apk                      
aniso8601                  10.0.1            python                   
anyio                      4.12.0            python                   
apk-tools                  2.14.9-r3         apk                      
apscheduler                3.11.2            python                   
attrs                      25.4.0            python                   
autocommand                2.2.2             python  (+1 duplicate)   
babelfish                  0.6.1             python                   
backports-tarfile          1.2.0             python                   
backports-zstd             1.3.0             python                   
bash                       5.2.37-r0         apk                      
bcrypt                     5.0.0             python                   
beautifulsoup4             4.14.3            python                   
blinker                    1.9.0             python                   
boost1.84-python3          1.84.0-r3         apk                      
boost1.84-system           1.84.0-r3         apk                      
boto3                      1.42.21           python                   
botocore                   1.42.21           python                   
brotli                     1.2.0             python                   
brotli-libs                1.1.0-r2          apk                      
busybox                    1.37.0-r20        apk                      
busybox-binsh              1.37.0-r20        apk                      
c-ares                     1.34.6-r0         apk                      
ca-certificates            20250911-r0       apk                      
ca-certificates-bundle     20250911-r0       apk                      
catatonit                  0.2.1-r0          apk                      
certifi                    2026.1.4          python                   
cffi                       2.0.0             python                   
chardet                    5.2.0             python                   
charset-normalizer         3.4.4             python                   
cheroot                    11.1.2            python                   
cherrypy                   18.10.0           python                   
cli                        UNKNOWN           binary                   
cli-32                     UNKNOWN           binary                   
cli-64                     UNKNOWN           binary                   
cli-arm64                  UNKNOWN           binary                   
click                      8.3.1             python                   
click-option-group         0.5.9             python                   
coreutils                  9.7-r1            apk                      
coreutils-env              9.7-r1            apk                      
coreutils-fmt              9.7-r1            apk                      
coreutils-sha512sum        9.7-r1            apk                      
cryptography               46.0.3            python                   
curl                       8.14.1-r2         apk                      
decorator                  5.2.1             python                   
deluge-client              1.10.2            python                   
dogpile-cache              1.5.0             python                   
enzyme                     0.5.2             python                   
feedparser                 6.0.12            python                   
findutils                  4.10.0-r0         apk                      
flask                      3.1.2             python                   
flask-compress             1.23              python                   
flask-cors                 6.0.2             python                   
flask-login                0.6.3             python                   
flask-restx                1.3.2             python                   
flexget                    3.18.36           python                   
frozenlist                 1.8.0             python                   
ftputil                    5.1.0             python                   
gdbm                       1.24-r0           apk                      
greenlet                   3.3.0             python                   
guessit                    3.8.0             python                   
gui                        UNKNOWN           binary                   
gui-32                     UNKNOWN           binary                   
gui-64                     UNKNOWN           binary                   
gui-arm64                  UNKNOWN           binary                   
h11                        0.16.0            python                   
h2                         4.3.0             python                   
hpack                      4.1.0             python                   
html5lib                   1.1               python                   
httpcore                   1.0.9             python                   
httpx                      0.28.1            python                   
hyperframe                 6.1.0             python                   
icu-data-en                76.1-r1           apk                      
